,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,MylesMartin,,,,,,Dec,Dec,,,Fall,MD,MD,,,4,4,10,18
1,BobColeman,,,,,,,,,,,,,,,0,0,0,0
2,AndrewMcNally,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
3,CoreyHazel,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
4,TaylorVenz,,Dec,Dec,,,,,,,Dec,,,,,0,2,0,2
5,TannerHarvey,,,,,,,,,,,,,,,0,0,0,0
6,MaxLyon,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
7,RyanPreisch,,,,Dec,SV,Dec,,,,Fall,Dec,,,,2,3.5,9,14.5
8,MaxwellDean,,,,,,,,,,MD,SV,Dec,Dec,,1,4,12,17
9,NoahStewart,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
10,NickGravina,,,,,,,,,,,,,,,0,0,0,0
11,CashWilcke,,MD,,,,,,,,Dec,,,,,1,1.5,0,2.5
12,NinoBonaccorsi,,,,,,,,,,Dec,Dec,,,,0,2,0,2
13,WillSumner,,,,,,,,,,,,,,,0,0,0,0
14,WillSchany,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
15,EmeryParker,,SV,Fall,Dec,Dec,,,Dec,,Dec,,,,,2,3.5,7,12.5
16,ZacharyZavatsky,,,,Dec,,,,,,Dec,Dec,,,,0,2.5,3,5.5
17,DomDucharme,,,,,,,,,,,,,,,0,0,0,0
18,CameronCaffey,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
19,DylanWisman,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
20,LouDeprez,,Dec,SV,,,,,,,MD,,,,,1,2,0,3
21,MasonReinhardt,SV,,,,,,,,,,,,,,0,0.5,0,0.5
22,ChristianLaFragola,,,,,,,,,,,,,,,0,0,0,0
23,DrewFoster,,,,,,,,,,MD,Dec,Dec,Dec,Dec,1,5,16,22
24,NickReenan,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
25,DakotaGeer,,MD,Dec,Dec,,,,,Dec,Dec,,,,,1,3,4,8
26,JacksonHemauer,,,,,,,,,,,,,,,0,0,0,0
27,SamuelColbray,,,,,,,,,,Dec,Dec,,,,0,2,0,2
28,ChipNess,,,,,,,,,,Dec,Dec,SV,,,0,3,0,3
29,TateSamuelson,MD,,,,,,,,,,,,,,1,0.5,0,1.5
30,KevinParker,,,,,,,,,,,,,,,0,0,0,0
31,ShakurRasheed,,MD,,,,,,,,MD,,,,,2,1.5,0,3.5
