,125,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,SebastianRivera,,,,,,Dec,Dec,,,TF,Dec,Dec,,,1.5,4,10,15.5
1,TreyChalifoux,,,,,,,,,,,,,,,0,0,0,0
2,DevinSchroder,MD,Dec,,,,,,,,,,,,,1,1,0,2
3,DrewMattin,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
4,RayVonFoley,,Dec,Dec,MD,,,,,Dec,TF,,,,,2.5,3,4,9.5
5,RicoMontoya,,,,,,,,,,,,,,,0,0,0,0
6,MalikHeinselman,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
7,VitaliArujau,,,,MD,Dec,Dec,,,,MD,MD,,,,3,3.5,9,15.5
8,JackMueller,,,,,,,,,,Fall,MD,TB,Dec,,3,4,12,19
9,GageCurry,,,,,,,,,,,,,,,0,0,0,0
10,JaySchwarm,Fall,Dec,,,,,,,,,,,,,2,1,0,3
11,MichaelMcGee,,Dec,Dec,,,,,,,TF,,,,,1.5,2,0,3.5
12,DrewHildebrandt,,,,,,,,,,Dec,,,,,0,1,0,1
13,GabeTownsell,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
14,ChristianMoody,,,,,,,,,,,,,,,0,0,0,0
15,RonnieBresser,,,,SV,,,,,,Fall,Dec,,,,2,2.5,3,7.5
16,SpencerLee,,,,,,,,,,TF,MD,Fall,Dec,Dec,4.5,5,16,25.5
17,BryceWest,,,,,,,,,,,,,,,0,0,0,0
18,AlexMackall,Fall,Dec,,,,,,,,,,,,,2,1,0,3
19,SeanFausz,,Fall,Dec,,,,,,,Dec,,,,,2,2,0,4
20,TravisPiotrowski,,,,,,,,,,Dec,,,,,0,1,0,1
21,ColeVerner,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
22,DackPunke,,,,,,,,,,,,,,,0,0,0,0
23,SeanRussell,,,,,,,,,,MD,MD,,,,2,2,0,4
24,PatGlory,,,,Dec,MD,,,,,TF,MD,,,,3.5,3,6,12.5
25,AlonzoAllen,,,,,,,,,,,,,,,0,0,0,0
26,CarmenFerrante,SV,,,,,,,,,,,,,,0,0.5,0,0.5
27,BrentFleetwood,,MD,SV,,,,,,,Dec,,,,,1,2,0,3
28,ElijahOliver,,,,,,,,,,Dec,,,,,0,1,0,1
29,ZekeMoisey,,,,,,,,,,,,,,,0,0,0,0
30,KorbinMeink,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
31,NicholasPiccininni,,,,,,,,Fall,,Fall,MD,Dec,,,5,3.5,7,15.5
