,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,AnthonyAshnault,Dec,,,,,,,,,MD,Dec,Dec,Dec,Dec,1,5.5,16,22.5
1,MalikAmine,,,,,,,,,,,,,,,0,0,0,0
2,ChristianMonserrat,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
3,DavionJeffries,,,,,,,,,,Dec,,,,,0,1,0,1
4,JustinOliver,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
5,CortlandtSchuyler,,,,,,,,,,,,,,,0,0,0,0
6,RussellRohlfing,Dec,Fall,,,,,,,,,,,,,2,1,0,3
7,JarrettDegen,,,,Dec,,,,,Dec,MD,Dec,,,,1,3,4,8
8,MatthewKolodzik,,,,,,,,Dec,,Dec,Dec,Dec,,,0,3.5,7,10.5
9,MichaelSprague,Dec,TB,,,,,,,,,,,,,0,1,0,1
10,KhristianOlivas,,,,,,,,,,,,,,,0,0,0,0
11,BradyBerge,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
12,AnthonyArtalona,TF,Dec,SV,,,,,,,,,,,,1.5,1.5,0,3
13,ThomasThorn,,Dec,SV,,,,,,,Dec,,,,,0,2,0,2
14,MatthewZovistoski,,,,,,,,,,,,,,,0,0,0,0
15,BrockMauller,,,,Fall,Dec,,,,,MD,Dec,,,,3,3,6,12
16,MitchFinesilver,,,,Dec,Dec,Dec,,,,TF,MD,,,,2.5,3.5,9,15
17,ParkerKropman,,,,,,,,,,,,,,,0,0,0,0
18,ColeMartin,,,,,,,,,,SV,,,,,0,1,0,1
19,RequirvanderMerwe,MD,,,,,,,,,,,,,,1,0.5,0,1.5
20,JoshuaHeil,,,,,,,,,,Fall,,,,,2,1,0,3
21,HenryPohlmeyer,,,,,,,,,,,,,,,0,0,0,0
22,TejonAnthony,,,,,,,,,,,,,,,0,0,0,0
23,AustinOConnor,,,,,,Dec,Dec,,,Dec,Dec,SV,,,0,4,10,14
24,KadenGfeller,,,,,,,,,,,,,,,0,0,0,0
25,RyanBlees,,,,,,,,,,SV,,,,,0,1,0,1
26,JoshuaMaruca,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
27,PatLugo,,,,Dec,,,,,,Dec,SV,,,,0,2.5,3,5.5
28,MaxThomsen,,Dec,MD,,,,,,,Dec,,,,,1,2,0,3
29,JaredPrince,Dec,MD,Dec,,,,,,,,,,,,1,1.5,0,2.5
30,ShayneOster,,,,,,,,,,,,,,,0,0,0,0
31,MicahJordan,,,,,,,,,,Fall,MD,Dec,Dec,,3,4,12,19
