,125,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,SebastianRivera,TF,Dec,Dec,,,1.5,3.0,0.0
1,TreyChalifoux,,,,,,0.0,0.0,0.0
2,DevinSchroder,,,,,,0.0,0.0,0.0
3,DrewMattin,Dec,,,,,0.0,1.0,0.0
4,RayVonFoley,TF,,,,,1.5,1.0,0.0
5,RicoMontoya,,,,,,0.0,0.0,0.0
6,MalikHeinselman,,,,,,0.0,0.0,0.0
7,VitaliArujau,MD,MD,,,,2.0,2.0,0.0
8,JackMueller,Fall,MD,TB,Dec,,3.0,4.0,12.0
9,GageCurry,,,,,,0.0,0.0,0.0
10,JaySchwarm,,,,,,0.0,0.0,0.0
11,MichaelMcGee,TF,,,,,1.5,1.0,0.0
12,DrewHildebrandt,Dec,,,,,0.0,1.0,0.0
13,GabeTownsell,,,,,,0.0,0.0,0.0
14,ChristianMoody,,,,,,0.0,0.0,0.0
15,RonnieBresser,Fall,Dec,,,,2.0,2.0,0.0
16,SpencerLee,TF,MD,Fall,Dec,Dec,4.5,5.0,16.0
17,BryceWest,,,,,,0.0,0.0,0.0
18,AlexMackall,,,,,,0.0,0.0,0.0
19,SeanFausz,Dec,,,,,0.0,1.0,0.0
20,TravisPiotrowski,Dec,,,,,0.0,1.0,0.0
21,ColeVerner,,,,,,0.0,0.0,0.0
22,DackPunke,,,,,,0.0,0.0,0.0
23,SeanRussell,MD,MD,,,,2.0,2.0,0.0
24,PatGlory,TF,MD,,,,2.5,2.0,0.0
25,AlonzoAllen,,,,,,0.0,0.0,0.0
26,CarmenFerrante,,,,,,0.0,0.0,0.0
27,BrentFleetwood,Dec,,,,,0.0,1.0,0.0
28,ElijahOliver,Dec,,,,,0.0,1.0,0.0
29,ZekeMoisey,,,,,,0.0,0.0,0.0
30,KorbinMeink,,,,,,0.0,0.0,0.0
31,NicholasPiccininni,Fall,MD,Dec,,,3.0,3.0,0.0
