,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,JasonNolf,Fall,TF,TF,Dec,MD,6.0,5.0,16.0
1,BenAnderson,,,,,,0.0,0.0,0.0
2,BcLaPrade,,,,,,0.0,0.0,0.0
3,JohnVanBrill,MD,,,,,1.0,1.0,0.0
4,ChristianPagdilao,MD,Dec,,,,1.0,2.0,0.0
5,JoshuaMcClure,,,,,,0.0,0.0,0.0
6,JustinRuffin,,,,,,0.0,0.0,0.0
7,JoshHumphreys,Dec,,,,,0.0,1.0,0.0
8,HaydenHidlay,TF,TF,SV,,,3.0,3.0,0.0
9,HunterWillits,,,,,,0.0,0.0,0.0
10,JustinThomas,Dec,,,,,0.0,1.0,0.0
11,TalebRahmani,,,,,,0.0,0.0,0.0
12,JarrettJacques,,,,,,0.0,0.0,0.0
13,LukeWeiland,Dec,,,,,0.0,1.0,0.0
14,AlexSmythe,,,,,,0.0,0.0,0.0
15,AlecPantaleo,MD,Dec,,,,1.0,2.0,0.0
16,RyanDeakin,Dec,MD,,,,1.0,2.0,0.0
17,ChristianLabrie,,,,,,0.0,0.0,0.0
18,GriffinParriott,Dec,,,,,0.0,1.0,0.0
19,ZachHartman,,,,,,0.0,0.0,0.0
20,KeShawnHayes,Dec,,,,,0.0,1.0,0.0
21,ZacCarson,,,,,,0.0,0.0,0.0
22,DanReed,,,,,,0.0,0.0,0.0
23,KalebYoung,TF,MD,SV,,,2.5,3.0,0.0
24,LarryEarly,MD,Dec,,,,1.0,2.0,0.0
25,QuincyMonda,,,,,,0.0,0.0,0.0
26,ChaseStraw,,,,,,0.0,0.0,0.0
27,SteveBleise,MD,,,,,1.0,1.0,0.0
28,EricBarone,Dec,,,,,0.0,1.0,0.0
29,LoganParks,,,,,,0.0,0.0,0.0
30,BenjaminBarton,,,,,,0.0,0.0,0.0
31,TylerBerger,TF,Fall,Dec,Dec,,3.5,4.0,12.0
