,Round1,Round2,Round3,Round4,Finals
DerekWhite,MD,Dec,Dec,SV,
BrandonNgati,,,,,
DavidJensen,,,,,
ChaseSingletary,Dec,,,,
MattStencel,Dec,MD,,,
HaydnMaley,,,,,
GannonGremmel,,,,,
DemetriusThomas,Dec,,,,
MasonParris,,,,,
SamStoll,Dec,Dec,,,
CoryGillilandDaniel,,,,,
ConanJennings,Dec,,,,
MattVoss,,,,,
ZachElam,SV,,,,
ColtonMcKiernan,,,,,
JordanWood,Dec,Dec,Dec,,
GableSteveson,TF,MD,MD,,
ZackParker,,,,,
BrianAndrews,Dec,,,,
AjNevills,,,,,
ThomasHaines,MD,,,,
BillyMiller,,,,,
CaryMiller,,,,,
AmarDhesi,MD,TF,,,
TrentHillger,Dec,Dec,,,
IanButterbrodt,,,,,
JeramySweany,,,,,
YoussifHemida,Dec,,,,
TateOrndorff,Dec,,,,
JosephGoodhart,,,,,
AntonioPelusi,,,,,
AnthonyCassar,Fall,MD,Dec,Dec,MD
